"BENCHMARKALTITUDE","BENCHMARKID","BENCHMARKLATITUDE","BENCHMARKLONGITUDE","DRONEALTITUDE","DRONELATITUDE","DRONELONGITUDE","UPDATETIMESTAMP"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862611868217755","170.5231289997443","1754455690444"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261187505041","170.5231290691379","1754455690667"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261187881236","170.52312911213815","1754455690874"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862611880142374","170.52312913413883","1754455691065"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261188006848","170.52312913852222","1754455691224"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862611878839125","170.52312912965397","1754455691446"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261189596011","170.52312910998606","1754455691663"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862611920658","170.52312908255865","1754455691834"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261194045828","170.52312903112684","1754455692055"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261197492619","170.5231289685563","1754455692226"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261201311591","170.5231289092797","1754455692445"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261206209483","170.52312887391585","1754455692664"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261211206995","170.52312885235193","1754455692835"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261217095546","170.52312881177437","1754455693056"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.8626122294118","170.52312874473975","1754455693225"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261227494952","170.5231286561996","1754455693449"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.8626123281332","170.52312857057655","1754455693657"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261239909725","170.52312848085464","1754455693826"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261246598532","170.52312839548915","1754455694045"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862612517601804","170.5231283261717","1754455694263"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862612575431164","170.52312827137916","1754455694436"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261263118947","170.5231282101396","1754455694643"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.86261267319254","170.52312813191006","1754455694815"
"51.4582","36748412","-45.862624723","170.523145149","0.0","-45.862612703760625","170.52312806000765","1754455695035"
